station_european_code,station_local_code,country_iso_code,country_name,station_name,station_start_date,station_end_date,type_of_station,station_ozone_classification,station_type_of_area,station_subcat_rural_back,station_longitude_deg,station_latitude_deg,station_altitude,station_city,lau_level1_code,lau_level1_name,lau_level2_code
RO0092A,RO-AB-1,RO,Romania,AB-1,01.01.2009,,Background,urban,urban,Unknown,23.563482,46.064224,246,ALBA IULIA,no,,
RO0093A,RO-AB-2,RO,Romania,AB-2,01.01.2008,,Industrial,urban,urban,Unknown,23.561399,45.9669,256,SEBES,no,,
RO0094A,RO-AB-3,RO,Romania,AB-3,01.01.2008,,Industrial,urban,urban,Unknown,23.225601,46.108295,450,ZLATNA,no,,
RO0098A,RO-AG-1,RO,Romania,AG-1,01.01.2008,,Traffic,urban,Unknown,,24.854518,44.870219,277,PITESTI,no,,
RO0099A,RO-AG-2,RO,Romania,AG-2,01.01.2008,,Background,urban,urban,Unknown,24.87715,44.858171,278,PITESTI,no,,
RO0100A,RO-AG-3,RO,Romania,AG-3,01.01.2008,,Background,suburban,suburban,Unknown,25.007398,44.816642,296,RADU NEGRU,no,,
RO0101A,RO-AG-4,RO,Romania,AG-4,01.01.2008,,Background,suburban,suburban,Unknown,24.762619,44.980608,322,CALOTESTI,no,,
RO0102A,RO-AG-5,RO,Romania,AG-5,01.01.2008,,Industrial,suburban,suburban,Unknown,24.97548,44.755625,268,OARJA,no,,
RO0103A,RO-AG-6,RO,Romania,AG-6,01.01.2010,,Industrial,urban,,,25.080584,45.286194,580,CAMPULUNG,13490,Municipiul Câmpulung,no
RO0058A,GR-GR1,RO,Romania,APDF,01.01.2003,31.12.2008,Background,urban,urban,,25.97,43.89528,25,GIURGIU,no,,
RO0056A,CS-R1,RO,Romania,APM,01.01.1998,31.12.2007,Background,urban,urban,,21.883,45.315708,212,RESITA,no,,
RO0091A,SV-SV1,RO,Romania,APM Suceava,01.01.2006,31.12.2007,Background,urban,urban,,26.235017,47.634444,353,SUCEAVA,no,,
RO0095A,RO-AR-1,RO,Romania,AR-1,01.01.2009,,Traffic,urban,urban,Wide,21.334721,46.181389,107,ARAD,no,,
RO0096A,RO-AR-2,RO,Romania,AR-2,01.01.2009,,Background,urban,urban,Unknown,21.302483,46.190552,107,ARAD,no,,
RO0097A,RO-AR-3,RO,Romania,AR-3,01.01.2010,,Traffic,suburban,Unknown,,20.736851,46.166817,100,NADLAC,no,,
RO0011A,TM-TM1,RO,Romania,B-dul M. Viteazul,01.01.1989,31.12.2007,Background,urban,urban,,21.25,45.766667,86,TIMISOARA,no,,
RO0065A,BUC-B1,RO,Romania,B1 Lacul Morii,01.01.2004,,Background,urban,urban,,26.036831,44.447071,30,BUCHAREST,no,,
RO0066A,BUC-B2,RO,Romania,B2 Titan,01.01.2004,,Industrial,urban,urban,,26.184734,44.411114,30,BUCHAREST,179132,"Municipiul Bucureti	no",
RO0067A,BUC-B3,RO,Romania,B3 Mihai Bravu,01.01.2004,,Traffic,urban,urban,Unknown,26.151121,44.440556,30,BUCHAREST,179132,Municipiul Bucureti,no
RO0068A,BUC-B4,RO,Romania,B4 Berceni,01.01.2004,,Industrial,urban,urban,,26.148348,44.395836,30,BUCHAREST,179132,Municipiul Bucureti,no
RO0069A,BUC-B5,RO,Romania,B5 Drumul Taberei,01.01.2004,,Industrial,urban,urban,,26.052244,44.411667,30,BUCHAREST,179132,Municipiul Bucureti,no
RO0070A,BUC-B6,RO,Romania,B6 Cercul Militar,01.01.2004,,Traffic,urban,urban,Unknown,26.120836,44.42889,30,BUCHAREST,179132,Municipiul Bucureti,no
RO0071A,BUC-B7,RO,Romania,B7 Magurele,01.01.2004,,Background,urban,suburban,,26.033613,44.348888,30,BUCHAREST,179409,Ora Mgurele,no
RO0072A,BUC-B8,RO,Romania,B8 Balotesti,01.01.2004,,Background,rural,background,rural,26.116667,44.616665,30,BUCHAREST,no,,
RO0104A,RO-BC-1,RO,Romania,BC-1,01.01.2008,,Background,urban,urban,Unknown,26.910671,46.564594,161,BACAU,no,,
RO0105A,RO-BC-2,RO,Romania,BC-2,01.01.2008,,Industrial,urban,urban,Unknown,26.927031,46.555931,160,BACAU,no,,
RO0106A,RO-BC-3,RO,Romania,BC-3,01.01.2008,,Industrial,urban,urban,Unknown,26.793091,46.256931,201,ONESTI,no,,
RO0107A,RO-BH-1,RO,Romania,BH-1,01.01.2008,,Background,urban,urban,Unknown,21.927238,47.068611,139,ORADEA,no,,
RO0108A,RO-BH-2,RO,Romania,BH-2,01.01.2008,,Industrial,urban,urban,Unknown,21.901402,47.097504,145,ORADEA,no,,
RO0109A,RO-BH-3,RO,Romania,BH-3,01.01.2008,,Traffic,urban,urban,Wide,21.950562,47.032505,128,ORADEA,no,,
RO0110A,RO-BH-4,RO,Romania,BH-4,01.01.2010,,Industrial,urban,,,22.331671,47.343609,213,TETCHEA,26877,Municipiul Marghita,no
RO0111A,RO-BN-1,RO,Romania,BN-1,01.01.2008,,Background,urban,urban,Unknown,24.495428,47.127377,365,BISTRITA,no,,
RO0113A,RO-BR-1,RO,Romania,BR-1,01.01.2008,,Traffic,urban,Wide,street:,27.971109,45.283855,28,BRAILA,no,,
RO0114A,RO-BR-2,RO,Romania,BR-2,01.01.2008,,Background,urban,urban,Unknown,27.96966,45.26297,16,BRAILA,no,,
RO0115A,RO-BR-3,RO,Romania,BR-3,01.01.2008,,Background,suburban,suburban,Unknown,27.889442,45.270855,28,SAT CAZASU,no,,
RO0116A,RO-BR-4,RO,Romania,BR-4,01.01.2008,,Industrial,urban,urban,Unknown,27.96139,45.29774,22,BRAILA,no,,
RO0117A,RO-BR-5,RO,Romania,BR-5,01.01.2008,,Industrial,rural,rural,Unknown,27.922554,45.16853,28,SAT CHISCANI,no,,
RO0112A,RO-BT-1,RO,Romania,BT-1,01.01.2008,,Background,urban,urban,Unknown,26.658577,47.739891,169,BOTOSANI,no,,
RO0118A,RO-BV-1,RO,Romania,BV-1,01.01.2008,,Traffic,urban,Wide,street:,25.63068,45.637714,599,BRASOV,no,,
RO0119A,RO-BV-2,RO,Romania,BV-2,01.01.2008,,Background,urban,urban,Unknown,25.603586,45.64975,569,BRASOV,no,,
RO0120A,RO-BV-3,RO,Romania,BV-3,01.01.2008,,Traffic,urban,urban,Wide,25.616217,45.65937,566,BRASOV,no,,
RO0121A,RO-BV-4,RO,Romania,BV-4,01.01.2008,,Background,suburban,suburban,Unknown,25.62414,45.718143,516,SANPETRU,no,,
